State Name,FINGER MILLET YIELD (Kg per ha),PHOSPHATE PER HA OF GCA (Kg per ha),NITROGEN PER HA OF GCA (Kg per ha),POTASH PER HA OF GCA (Kg per ha),AVERAGE RAINFALL (Millimeters),AVERAGE TEMPERATURE (Centigrate),AVERAGE PERCIPITATION (Millimeters)
Chhattisgarh,250.0,0.27,1.27,0.03,178.55,28.71333333,135.875
Chhattisgarh,222.22,0.16,1.17,0.15,288.0,28.45666667,178.0283333
Chhattisgarh,250.0,0.34,2.27,0.03,263.125,28.18833333,191.7233333
Chhattisgarh,250.0,0.63,3.08,0.03,223.525,27.90833333,223.975
Chhattisgarh,250.0,1.46,3.32,0.11,350.75,27.82,163.1833333
Chhattisgarh,222.22,2.07,5.11,0.46,297.575,27.33,154.2233333
Chhattisgarh,125.0,2.75,6.09,0.59,234.05,28.82333333,125.025
Chhattisgarh,250.0,1.64,3.31,0.17,315.05,28.52333333,136.0616667
Chhattisgarh,375.0,1.0,2.32,0.23,138.325,28.385,142.6566667
Chhattisgarh,250.0,0.6,3.38,0.15,271.575,28.21333333,233.4866667
Chhattisgarh,250.0,1.17,3.86,0.23,234.2,28.205,199.24
Chhattisgarh,250.0,1.12,3.08,0.37,248.425,28.02666667,188.56
Chhattisgarh,285.71,1.36,4.43,0.43,276.5,28.20333333,181.3683333
Chhattisgarh,285.71,1.92,3.89,0.55,207.2,28.765,194.1766667
Chhattisgarh,333.33,1.89,4.19,0.46,331.775,28.37,193.8733333
Chhattisgarh,285.71,3.06,5.38,0.69,233.2,28.30666667,234.9133333
Chhattisgarh,333.33,2.33,5.49,0.62,189.35,28.46666667,174.845
Chhattisgarh,285.71,2.95,7.09,0.66,243.325,28.68,221.185
Chhattisgarh,333.33,4.2,8.87,0.78,222.8,28.065,148.4416667
Chhattisgarh,200.0,5.05,9.63,0.95,235.175,28.31833333,200.7066667
Chhattisgarh,166.67,6.36,10.33,1.26,244.825,28.26166667,179.035
Chhattisgarh,250.0,7.04,13.21,1.57,157.15,28.83666667,150.3333333
Chhattisgarh,250.0,9.56,14.88,2.44,158.025,28.54833333,189.5916667
Chhattisgarh,250.0,10.01,16.87,2.95,49.625,28.22,174.0683333
Chhattisgarh,0.0,6.63,16.24,2.44,259.325,27.475,242.675
Chhattisgarh,0.0,10.7,14.57,3.9,179.625,28.34333333,187.5883333
Chhattisgarh,0.0,11.26,18.42,3.85,206.95,28.55166667,169.0483333
Chhattisgarh,0.0,8.92,16.19,1.84,194.725,28.63833333,194.5683333
Chhattisgarh,0.0,9.98,19.92,2.05,346.25,27.91666667,254.0666667
Chhattisgarh,0.0,9.95,19.86,2.04,298.4,28.59666667,192.0116667
Chhattisgarh,0.0,10.14,20.25,2.08,300.45,28.75,141.7616667
Chhattisgarh,0.0,11.22,25.59,3.33,357.4,28.59,142.0483333
Chhattisgarh,0.0,12.0,25.72,2.44,266.375,29.17666667,165.4283333
Chhattisgarh,280.0,11.16,24.98,4.1,397.925,28.15833333,190.7016667
